Name,,Upload,Download,Type,Supplier,Supplier Product Ref.,Supplier Product Subtype,Actual Ex VAT  ,Promotional Pricing including VAT,Yearly ,Benefit 1 ,Benefit 2,Recommended (HIGHLIGHT),Category
Standard Broadband,,,,,,,,,,,,,,
BTW ,ADSL2+,,,ADSL,BT_WHOLESALE,BT_21CN_ADSL2Plus,Standard ,£15.99,£15.00,,,,,Standard Broadband
TTB,,,,ADSL,TTB,TTB_ADSL2,Standard ,£15.99,£15.00,,,,,Standard Broadband
,,,,,,,,,,,,,,
SOGEA,,,,,,,,,,,,,,
BTW ,FTTC (SOGEA) 40/10 Mkt A,40,10,SOGEA,BT_WHOLESALE,BT_21CN_SOGEA,STANDARD,£35.99,£33.00,,,,,SOGEA
BTW ,FTTC (SOGEA) 40/10 Mkt B,40,10,SOGEA,BT_WHOLESALE,BT_21CN_SOGEA,STANDARD,£35.99,£33.00,,,,,SOGEA
BTW ,FTTC (SOGEA) 80/20 Mkt A,80,20,SOGEA,BT_WHOLESALE,BT_21CN_SOGEA,PLUS,£35.99,£33.00,,,,,SOGEA
BTW ,FTTC (SOGEA) 80/20 Mkt B,80,20,SOGEA,BT_WHOLESALE,BT_21CN_SOGEA,PLUS,£35.99,£33.00,,,,,SOGEA
Voda,SOGEA 40/10,40,10,SOGEA,VODAFONE,VF_SOGEA,40/10,£35.99,£33.00,,,,,SOGEA
Voda,SOGEA 80/20,80,20,SOGEA,VODAFONE,VF_SOGEA,40/10,£35.99,£33.00,,,,,SOGEA
,,,,,,,,,,,,,,
Fast Fibre,,,,,,,,,,,,,,
BTW ,FTTC 40/10,40,10,FTTC,BT_WHOLESALE,BT_21CN_FTTC,STANDARD,£25.99,£30.00,,,,,Fast Fibre
TTB,FTTC 40/10,40,10,FTTC,TTB,TTB_WLR_FTTC,STANDARD,£25.99,£30.00,,,,,Fast Fibre
TTB,FTTC 80/20,80,20,FTTC,TTB,TTB_WLR_FTTC,STANDARD,£25.99,£30.00,,,,,Fast Fibre
BTW ,FTTC 80/20 ,80,20,FTTC,BT_WHOLESALE,BT_21CN_FTTC,STANDARD,£25.99,£30.00,,,,,Fast Fibre
,,,,,,,,,,,,,,
G Fast ,,,,,,,,,,,,,,
BTW ,GFAST 160/30 ,160,30,FTTC,BT_WHOLESALE,BT_21CN_FTTC_GFAST,160/30,£33.33,£35.00,,,,,G Fast
BTW ,GFAST 330/50 ,330,50,FTTC,BT_WHOLESALE,BT_21CN_FTTC_GFAST, 330/50,£39.16,£44.00,,,,,G Fast
,,,,,,,,,,,,,,
Superfast Fibre,,,,,,,,,,,,,,
VODA,FTTP 40/10,40,10,FTTP,VODAFONE,VF_FTTP,40/10,£27.50,£33.00,,,,,Superfast Fibre
BTW ,FTTP 40/10,40,10,FTTP,BT_WHOLESALE,BT_21CN_FTTP,40/10,£27.50,£33.00,,,,,Superfast Fibre
VODA,FTTP 80/20,80,20,FTTP,VODAFONE,VF_FTTP,80/20,£27.50,£33.00,,,,,Superfast Fibre
BTW ,FTTP 80/20,80,20,FTTP,BT_WHOLESALE,BT_21CN_FTTP,80/20,£27.50,£33.00,,,,,Superfast Fibre
VODA,FTTP 115/20,115,20,FTTP,VODAFONE,VF_FTTP,115/20,£10.00,£37.00,,,,,Superfast Fibre
BTW ,FTTP 115/20,115,20,FTTP,BT_WHOLESALE,BT_21CN_FTTP,115/20,£10.00,£37.00,,,,,Superfast Fibre
BTW ,FTTP 160/30,160,30,FTTP,BT_WHOLESALE,BT_21CN_FTTP,160/30,£10.00,£37.00,,,,,Superfast Fibre
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ultrafast Fibre,,,,,,,,,,,,,,
VODA,FTTP 220/30,220,30,FTTP,VODAFONE,VF_FTTP,220/30,£10.00,£40.00,£450 per year ,,,,Ultrafast Fibre
BTW ,FTTP 220/30,220,30,FTTP,BT_WHOLESALE,BT_21CN_FTTP,220/30,£10.00,£40.00,,,,,Ultrafast Fibre
BTW ,FTTP 330/50,330,50,FTTP,BT_WHOLESALE,BT_21CN_FTTP,330/50,£10.00,£40.00,,,,,Ultrafast Fibre
VODA,FTTP 550/75,550,75,FTTP,VODAFONE,VF_FTTP,550/75,£10.00,£40.00,,,,,Ultrafast Fibre
BTW ,FTTP 550/75,550,75,FTTP,BT_WHOLESALE,BT_21CN_FTTP,550/75,£10.00,£40.00,,,,,Ultrafast Fibre
VODA,FTTP 1000/115,1000,115,FTTP,VODAFONE,VF_FTTP,1000/115,£10.00,£54.00,£580 per year ,,,,Ultrafast Fibre
BTW ,FTTP 1000/115,1000,115,FTTP,BT_WHOLESALE,BT_21CN_FTTP,1000/115,£10.00,£54.00,,,,,Ultrafast Fibre
